grid_name,weekly_capacity,alpha,value_of_dynamic_optimization,relative_VDO,dynamic_active_product_set,myopic_active_product_set,active_set_changed,active_set_symmetric_difference,product_promotion_count_disagreement,product_week_timing_disagreement,dynamic_binding_weeks,myopic_binding_weeks,dynamic_supported_share,myopic_supported_share
supported,3,2.6,16.22375693368849,0.007028870783573011,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|3800000110|3800000120|3800000127|3800001520|3800001611,True,1,7,27,5,8,1.0,1.0
supported,3,2.65,10.00496008304708,0.004231793177936671,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,True,1,8,30,5,8,1.0,1.0
supported,3,2.7,8.334368980486943,0.0034318112437309737,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,True,1,4,32,6,8,1.0,1.0
supported,3,2.75,9.419719169835844,0.0037806458751211487,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,3,33,6,8,1.0,1.0
supported,3,2.8,13.08349951612945,0.005126690458583907,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,2,34,7,8,1.0,0.875
supported,3,2.85,18.003876783689066,0.006894440426151872,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,1,33,7,8,1.0,1.0
supported,3,2.9,9.33268154009238,0.0034749297829066057,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,0,26,8,8,1.0,1.0
supported,3,2.95,6.731306753992612,0.0024388134539735287,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,0,18,8,8,1.0,1.0
supported,3,3.0,6.726155620415739,0.0023730180088660834,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,0,18,8,8,1.0,1.0
supported,3,3.05,6.7210044868397745,0.002310586381801555,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,0,18,8,8,1.0,1.0
supported,3,3.1,6.715853353262446,0.0022512670379056464,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,0,18,8,8,1.0,1.0
supported,3,3.15,6.710702219685118,0.002194832910973945,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,0,18,8,8,1.0,1.0
supported,3,3.2,6.705551086107334,0.0021410784987979784,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,0,18,8,8,1.0,1.0
supported,8,1.2,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0
supported,8,1.25,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0
supported,8,1.3,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0
supported,8,1.35,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0
supported,8,1.4,2.8002029410997693,0.0016053527873592453,3800000110,3800000110,False,0,3,5,0,0,1.0,1.0
supported,8,1.45,2.0275180333851495,0.0011616923827749998,3800000110,3800000110,False,0,3,5,0,0,1.0,1.0
supported,8,1.5,1.254833125670757,0.0007185516269762267,3800000110,3800000110,False,0,3,5,0,0,1.0,1.0
supported,8,1.55,0.7301850651303994,0.0004178791312173822,3800000110,3800000110,False,0,1,7,0,0,1.0,1.0
supported,8,1.6,0.6899190603892293,0.0003946042555389178,3800000110,3800000110,False,0,0,8,0,0,1.0,1.0
supported,8,1.65,1.3905775962275584,0.0007947006347922915,3800000110|3800000120,3800000110|3800000120,False,0,0,16,0,0,1.0,1.0
supported,8,1.7,1.6877264955046485,0.0009568613844278226,3800000110|3800000120,3800000110|3800000120,False,0,0,14,0,0,1.0,1.0
supported,8,1.75,1.6216555442406388,0.0009112299752686152,3800000110|3800000120,3800000110|3800000120,False,0,0,12,0,0,1.0,1.0
supported,8,1.8,1.57032779327983,0.0008746140400745684,3800000110|3800000120,3800000110|3800000120,False,0,0,12,0,0,1.0,1.0
supported,8,1.85,8.078298122604338,0.004475222819562114,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,3,17,0,0,1.0,0.6666666666666666
supported,8,1.9,5.08311677924803,0.0027805706951061298,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,1,19,0,0,1.0,1.0
supported,8,1.95,4.750149364908793,0.0025564463126318366,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,20,0,0,1.0,1.0
supported,8,2.0,4.660574785868221,0.0024683562667889764,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,16,0,0,1.0,1.0
supported,8,2.05,4.60850241494154,0.0024025749747718234,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,16,0,0,1.0,1.0
supported,8,2.1,4.57663742033651,0.0023491936069876167,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,14,0,0,1.0,1.0
supported,8,2.15,10.578637192407541,0.005361015965223326,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,3,19,0,0,1.0,1.0
supported,8,2.2,6.6447836983995785,0.003304981512571222,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,22,0,0,1.0,1.0
supported,8,2.24,6.582762689208266,0.003226270985056086,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,20,0,0,1.0,1.0
supported,8,2.25,6.571357349554546,0.0032089536998656434,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,20,0,0,1.0,1.0
supported,8,2.3,6.5208214260737805,0.003127338092722718,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,20,0,0,1.0,1.0
supported,8,2.35,6.482717734495509,0.003054447599384764,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,20,0,0,1.0,1.0
supported,8,2.4,6.460544542312618,0.002991450157330765,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,18,0,0,1.0,1.0
supported,8,2.45,29.628442859490406,0.01362621578683285,1600066510|3800000110|3800000120|3800000127|3800001611,1600066510|3800000110|3800000120|3800000127|3800001611,False,0,3,23,0,0,1.0,1.0
supported,8,2.5,25.538447527884728,0.011518870142465311,1600066510|3800000110|3800000120|3800000127|3800001611,1600066510|3800000110|3800000120|3800000127|3800001611,False,0,3,23,0,0,1.0,1.0
supported,8,2.55,31.477620039145677,0.013981284801136265,1600066510|1600066590|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,9,33,0,0,1.0,1.0
supported,8,2.6,21.77888635381032,0.00944846831415763,1600066510|1600066590|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,6,36,0,0,1.0,1.0
supported,8,2.65,19.982628092780487,0.008471672234105929,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,7,43,1,4,1.0,1.0
supported,8,2.7,18.261699687956934,0.007535936771295992,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,3,41,1,4,1.0,1.0
