upc,dynamic_profit,myopic_profit,vdo_contribution,alpha,capacity,washout_horizon
3800001611,420.799896737785,420.799896737785,0.0,2.35,1,12
1600066510,638.8822465477929,642.5135512220132,-3.6313046742203596,2.4,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.4,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.4,1,12
3800000110,205.87122504270906,202.62012967797958,3.25109536472948,2.4,1,12
3800000120,547.2427474397102,538.811880626458,8.430866813252237,2.4,1,12
3800000127,337.70365430894185,344.5722386870179,-6.8685843780760365,2.4,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.4,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.4,1,12
1600066510,656.9752893364515,656.9752893364515,0.0,2.45,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.45,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.45,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,2.45,1,12
3800000120,553.7497818488247,553.7497675671505,1.4281674225458119e-05,2.45,1,12
3800000127,351.57718278806465,351.57718278806465,0.0,2.45,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.45,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.45,1,12
1600066510,671.4370274508899,671.4370274508899,0.0,2.5,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.5,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.5,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,2.5,1,12
3800000120,568.687669705989,568.6876545078428,1.5198146229522536e-05,2.5,1,12
3800000127,358.5821268891113,358.5821268891113,0.0,2.5,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.5,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.5,1,12
1600066510,685.898765565328,685.898765565328,0.0,2.55,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.55,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.55,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,2.55,1,12
3800000120,583.6255575631533,583.6255414485353,1.6114618006213277e-05,2.55,1,12
3800000127,365.587070990158,365.587070990158,0.0,2.55,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.55,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.55,1,12
1600066510,700.3605036797663,700.3605036797663,0.0,2.6,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.6,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.6,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,2.6,1,12
3800000120,598.5634454203176,598.5634283892277,1.7031089896590856e-05,2.6,1,12
3800000127,372.5920150912047,372.5920150912047,0.0,2.6,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.6,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.6,1,12
1600066510,714.8222417942046,714.8222417942046,0.0,2.65,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.65,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.65,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,2.65,1,12
3800000120,613.5013332774819,613.50131532992,1.7947561900655273e-05,2.65,1,12
3800000127,379.59695919225135,379.59695919225135,0.0,2.65,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.65,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.65,1,12
1600066510,729.2839799086431,729.2839799086431,0.0,2.7,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.7,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.7,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,2.7,1,12
3800000120,628.4392211346463,628.4392022706126,1.8864033791032853e-05,2.7,1,12
3800000127,386.6019032932981,386.6019032932981,0.0,2.7,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.7,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.7,1,12
1600066510,743.7457180230814,743.7457180230814,0.0,2.75,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.75,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.75,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,2.75,1,12
3800000120,643.3771089918107,643.3770892113051,1.9780505567723594e-05,2.75,1,12
3800000127,393.60684739434475,393.60684739434475,0.0,2.75,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.75,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.75,1,12
1600066510,758.2074561375194,758.2074561375194,0.0,2.8,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.8,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.8,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,2.8,1,12
3800000120,658.3149968489749,658.3149761519973,2.069697768547485e-05,2.8,1,12
