grid_name,weekly_capacity,alpha,policy,upc,product_name,value,promotion_count,total_depth,schedule_supported
supported,1,1.95,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.95,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.95,dynamic,3800000120,3800000120,256.04665295473734,4,2.2,True
supported,1,1.95,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.95,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.95,dynamic,1600066510,1600066510,288.3613966112136,4,2.0,True
supported,1,1.95,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.95,dynamic,3800000110,3800000110,117.98693638503552,4,0.36,True
supported,1,1.95,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.95,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.95,myopic,3800000120,3800000120,256.04665295473734,4,2.2,True
supported,1,1.95,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.95,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.95,myopic,1600066510,1600066510,286.1257716588973,4,2.0,True
supported,1,1.95,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.95,myopic,3800000110,3800000110,118.4035707446734,4,0.36,True
supported,1,2.0,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,2.0,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,2.0,dynamic,3800000120,3800000120,270.8425666300456,4,2.2,True
supported,1,2.0,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,2.0,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,2.0,dynamic,1600066510,1600066510,302.4235287221272,4,2.0,True
supported,1,2.0,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,2.0,dynamic,3800000110,3800000110,119.00454394817353,4,0.36,True
supported,1,2.0,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,2.0,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,2.0,myopic,3800000120,3800000120,270.8425666300456,4,2.2,True
supported,1,2.0,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,2.0,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,2.0,myopic,1600066510,1600066510,300.25856777191154,4,2.0,True
supported,1,2.0,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,2.0,myopic,3800000110,3800000110,119.41609027544655,4,0.36,True
supported,1,2.05,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,2.05,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,2.05,dynamic,3800000120,3800000120,285.63848030535377,4,2.2,True
supported,1,2.05,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,2.05,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,2.05,dynamic,1600066510,1600066510,316.48566083304075,4,2.0,True
supported,1,2.05,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,2.05,dynamic,3800000110,3800000110,120.02215151131153,4,0.36,True
supported,1,2.05,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,2.05,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,2.05,myopic,3800000120,3800000120,285.63848030535377,4,2.2,True
supported,1,2.05,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,2.05,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,2.05,myopic,1600066510,1600066510,314.3913638849257,4,2.0,True
