grid_name,weekly_capacity,alpha,value_of_dynamic_optimization,relative_VDO,dynamic_active_product_set,myopic_active_product_set,active_set_changed,active_set_symmetric_difference,product_promotion_count_disagreement,product_week_timing_disagreement,dynamic_binding_weeks,myopic_binding_weeks,dynamic_supported_share,myopic_supported_share,decision_horizon,washout_horizon,evaluation_horizon
empirical_w6,2,3.2,2.350068162621028,0.0006095481886816425,1600066510|1600066590|1600066610|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,1,4,24,12,12,1.0,1.0,12,6,18
empirical_w6,3,1.2,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,3,1.25,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,3,1.3,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,3,1.35,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,3,1.4,3.409399122715058,0.0013222224581306483,,3800000110,True,1,4,4,0,0,1.0,1.0,12,6,18
empirical_w6,3,1.45,2.386677948196848,0.0009252269734126554,,3800000110,True,1,4,4,0,0,1.0,1.0,12,6,18
empirical_w6,3,1.5,1.3639567736786375,0.000528546158538394,,3800000110,True,1,4,4,0,0,1.0,1.0,12,6,18
empirical_w6,3,1.55,0.39845136940448356,0.00015434250854365995,3800000110,3800000110,False,0,3,5,0,0,1.0,1.0,12,6,18
empirical_w6,3,1.6,0.14697514088948083,5.6909150293186005e-05,3800000110,3800000110,False,0,0,8,0,0,1.0,1.0,12,6,18
empirical_w6,3,1.65,0.20357005218693303,7.87900795364768e-05,3800000110|3800000120,3800000110|3800000120,False,0,1,15,0,0,1.0,1.0,12,6,18
empirical_w6,3,1.7,0.17252961134954603,6.642327993170965e-05,3800000110|3800000120,3800000110|3800000120,False,0,0,12,0,0,1.0,1.0,12,6,18
empirical_w6,3,1.75,0.14686420182306392,5.619992540901018e-05,3800000110|3800000120,3800000110|3800000120,False,0,0,10,0,0,1.0,1.0,12,6,18
empirical_w6,3,1.8,0.12760236565236482,4.853528077357635e-05,3800000110|3800000120,3800000110|3800000120,False,0,0,10,0,0,1.0,1.0,12,6,18
empirical_w6,3,1.85,7.421839413402722,0.002813884424141465,3800000110|3800000120,1600066510|3800000110|3800000120,True,1,4,14,0,4,1.0,0.6666666666666666,12,6,18
empirical_w6,3,1.9,1.3866773424142593,0.0005214046945252374,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,3,13,0,4,1.0,1.0,12,6,18
empirical_w6,3,1.95,0.4171713185310182,0.00015510963860694313,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,14,1,4,1.0,1.0,12,6,18
empirical_w6,3,2.0,0.3929309813170221,0.00014448393544136726,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,14,1,4,1.0,1.0,12,6,18
empirical_w6,3,2.05,0.3782460125275975,0.00013756549794295887,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,12,1,4,1.0,1.0,12,6,18
empirical_w6,3,2.1,0.3912902498245785,0.00014077250871408103,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,12,1,4,1.0,1.0,12,6,18
empirical_w6,3,2.15,6.2384734311895045,0.0022250215737221885,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120|3800000127,True,1,4,16,1,4,1.0,1.0,12,6,18
empirical_w6,3,2.2,0.4976921689903975,0.00017518029341750206,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,18,2,4,1.0,1.0,12,6,18
empirical_w6,3,2.24,0.5067182175548623,0.000176506068532633,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,20,2,4,1.0,1.0,12,6,18
empirical_w6,3,2.25,0.5347107470029187,0.00018577597981416768,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,16,2,4,1.0,1.0,12,6,18
empirical_w6,3,2.3,0.5516335311731382,0.00018920497656816038,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,14,3,4,1.0,1.0,12,6,18
empirical_w6,3,2.35,0.5782514886454919,0.0001958307624761153,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,14,3,4,1.0,1.0,12,6,18
empirical_w6,3,2.4,0.6048694461183004,0.00020229133696046358,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,14,3,4,1.0,1.0,12,6,18
empirical_w6,3,2.45,24.724423869012753,0.008232484342998258,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127|3800001611,True,1,4,18,3,4,1.0,1.0,12,6,18
empirical_w6,3,2.5,19.33576492190241,0.006347983122647105,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127|3800001611,True,1,4,18,3,4,1.0,1.0,12,6,18
empirical_w6,3,2.55,24.566726457752793,0.007981278319637035,1600066510|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001520|3800001611,True,3,12,24,4,8,1.0,1.0,12,6,18
empirical_w6,3,2.6,10.293422661303339,0.003286992912648572,1600066510|1600066590|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001520|3800001611,True,2,8,26,4,8,1.0,1.0,12,6,18
empirical_w6,3,2.65,4.999791494189594,0.0015699907675481022,1600066510|1600066590|3800000110|3800000120|3800000127,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,True,3,12,28,4,8,1.0,1.0,12,6,18
empirical_w6,3,2.7,1.7852415601005305,0.0005494867625123248,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,True,1,4,32,6,8,1.0,1.0,12,6,18
empirical_w6,3,2.75,1.4540563971054326,0.00043885663704653396,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,True,1,4,30,7,8,1.0,1.0,12,6,18
empirical_w6,3,2.8,7.422957228565338,0.0022017816423700832,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,True,1,4,30,7,8,1.0,0.875,12,6,18
empirical_w6,3,2.85,16.507361728574324,0.004817704814683143,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,1,31,8,8,1.0,1.0,12,6,18
empirical_w6,3,2.9,6.459658576314723,0.0018452203440686636,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,1,15,8,8,1.0,1.0,12,6,18
