alpha,method,schedule_id,week,discount_depth
2.33,nominal_dynamic,2928,1,0.3
2.33,nominal_dynamic,2928,2,0.0
2.33,nominal_dynamic,2928,3,0.0
2.33,nominal_dynamic,2928,4,0.0
2.33,nominal_dynamic,2928,5,0.3
2.33,nominal_dynamic,2928,6,0.0
2.33,nominal_dynamic,2928,7,0.0
2.33,nominal_dynamic,2928,8,0.0
2.33,nominal_dynamic,2928,9,0.3
2.33,nominal_dynamic,2928,10,0.0
2.33,nominal_dynamic,2928,11,0.0
2.33,nominal_dynamic,2928,12,0.3
2.33,persistent_dro,2820,1,0.3
2.33,persistent_dro,2820,2,0.0
2.33,persistent_dro,2820,3,0.0
2.33,persistent_dro,2820,4,0.0
2.33,persistent_dro,2820,5,0.0
2.33,persistent_dro,2820,6,0.3
2.33,persistent_dro,2820,7,0.0
2.33,persistent_dro,2820,8,0.0
2.33,persistent_dro,2820,9,0.3
2.33,persistent_dro,2820,10,0.0
2.33,persistent_dro,2820,11,0.0
2.33,persistent_dro,2820,12,0.3
2.34,myopic,3168,1,0.3
2.34,myopic,3168,2,0.0
2.34,myopic,3168,3,0.0
2.34,myopic,3168,4,0.3
2.34,myopic,3168,5,0.0
2.34,myopic,3168,6,0.0
2.34,myopic,3168,7,0.3
2.34,myopic,3168,8,0.0
2.34,myopic,3168,9,0.0
2.34,myopic,3168,10,0.3
2.34,myopic,3168,11,0.0
2.34,myopic,3168,12,0.0
2.34,nominal_dynamic,3117,1,0.3
2.34,nominal_dynamic,3117,2,0.0
2.34,nominal_dynamic,3117,3,0.0
2.34,nominal_dynamic,3117,4,0.3
2.34,nominal_dynamic,3117,5,0.0
2.34,nominal_dynamic,3117,6,0.0
2.34,nominal_dynamic,3117,7,0.0
2.34,nominal_dynamic,3117,8,0.0
2.34,nominal_dynamic,3117,9,0.3
2.34,nominal_dynamic,3117,10,0.0
2.34,nominal_dynamic,3117,11,0.0
2.34,nominal_dynamic,3117,12,0.3
2.34,persistent_dro,2820,1,0.3
2.34,persistent_dro,2820,2,0.0
2.34,persistent_dro,2820,3,0.0
2.34,persistent_dro,2820,4,0.0
2.34,persistent_dro,2820,5,0.0
2.34,persistent_dro,2820,6,0.3
2.34,persistent_dro,2820,7,0.0
2.34,persistent_dro,2820,8,0.0
2.34,persistent_dro,2820,9,0.3
2.34,persistent_dro,2820,10,0.0
2.34,persistent_dro,2820,11,0.0
2.34,persistent_dro,2820,12,0.3
2.435,myopic,3168,1,0.3
2.435,myopic,3168,2,0.0
2.435,myopic,3168,3,0.0
2.435,myopic,3168,4,0.3
2.435,myopic,3168,5,0.0
2.435,myopic,3168,6,0.0
2.435,myopic,3168,7,0.3
2.435,myopic,3168,8,0.0
2.435,myopic,3168,9,0.0
2.435,myopic,3168,10,0.3
2.435,myopic,3168,11,0.0
2.435,myopic,3168,12,0.0
2.435,nominal_dynamic,3117,1,0.3
2.435,nominal_dynamic,3117,2,0.0
2.435,nominal_dynamic,3117,3,0.0
2.435,nominal_dynamic,3117,4,0.3
2.435,nominal_dynamic,3117,5,0.0
2.435,nominal_dynamic,3117,6,0.0
2.435,nominal_dynamic,3117,7,0.0
2.435,nominal_dynamic,3117,8,0.0
2.435,nominal_dynamic,3117,9,0.3
2.435,nominal_dynamic,3117,10,0.0
2.435,nominal_dynamic,3117,11,0.0
2.435,nominal_dynamic,3117,12,0.3
2.435,persistent_dro,2928,1,0.3
2.435,persistent_dro,2928,2,0.0
2.435,persistent_dro,2928,3,0.0
2.435,persistent_dro,2928,4,0.0
2.435,persistent_dro,2928,5,0.3
2.435,persistent_dro,2928,6,0.0
2.435,persistent_dro,2928,7,0.0
2.435,persistent_dro,2928,8,0.0
2.435,persistent_dro,2928,9,0.3
2.435,persistent_dro,2928,10,0.0
2.435,persistent_dro,2928,11,0.0
2.435,persistent_dro,2928,12,0.3
2.5,myopic,3168,1,0.3
2.5,myopic,3168,2,0.0
2.5,myopic,3168,3,0.0
2.5,myopic,3168,4,0.3
2.5,myopic,3168,5,0.0
2.5,myopic,3168,6,0.0
2.5,myopic,3168,7,0.3
2.5,myopic,3168,8,0.0
2.5,myopic,3168,9,0.0
2.5,myopic,3168,10,0.3
2.5,myopic,3168,11,0.0
2.5,myopic,3168,12,0.0
2.5,nominal_dynamic,3117,1,0.3
2.5,nominal_dynamic,3117,2,0.0
2.5,nominal_dynamic,3117,3,0.0
2.5,nominal_dynamic,3117,4,0.3
2.5,nominal_dynamic,3117,5,0.0
2.5,nominal_dynamic,3117,6,0.0
2.5,nominal_dynamic,3117,7,0.0
2.5,nominal_dynamic,3117,8,0.0
2.5,nominal_dynamic,3117,9,0.3
2.5,nominal_dynamic,3117,10,0.0
2.5,nominal_dynamic,3117,11,0.0
2.5,nominal_dynamic,3117,12,0.3
2.5,persistent_dro,2928,1,0.3
2.5,persistent_dro,2928,2,0.0
2.5,persistent_dro,2928,3,0.0
2.5,persistent_dro,2928,4,0.0
2.5,persistent_dro,2928,5,0.3
2.5,persistent_dro,2928,6,0.0
2.5,persistent_dro,2928,7,0.0
2.5,persistent_dro,2928,8,0.0
2.5,persistent_dro,2928,9,0.3
2.5,persistent_dro,2928,10,0.0
2.5,persistent_dro,2928,11,0.0
2.5,persistent_dro,2928,12,0.3
