alpha,method,schedule_id,mean_profit,p10_profit,worst_profit,mean_regret,p90_regret,maximum_regret,promotion_count,total_discount_depth,first_promotion_week,oracle_promotion_share
2.22,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,2.2205830045292867,7.207719573974711,12.672313041687033,0,0.0,,0.755
2.225,myopic,3168,207.59117860766003,199.58677806854251,186.85468063354492,3.749027760885653,9.373670339584494,22.025339508056646,4,1.2,1.0,0.77
2.225,nominal_dynamic,3,209.72662411618234,208.20898294448855,206.6642596244812,1.6135822523633685,5.213711684942268,10.004564857482933,1,0.3,12.0,0.77
2.225,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,2.460186226944133,7.715684700012282,13.19778690338137,0,0.0,,0.77
2.23,myopic,3168,208.052737829945,200.01025783538822,187.24235733032228,3.5436936525717386,9.043382263183759,21.637662811279284,4,1.2,1.0,0.81
2.23,nominal_dynamic,3,209.83893795957565,208.31170864105226,206.7572261428833,1.7574935229410729,5.581778692007077,10.40289943695069,1,0.3,12.0,0.81
2.23,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,2.716411340915162,8.22364982604986,13.723260765075679,0,0.0,,0.81
2.235,myopic,3168,208.5142970522299,200.43899484157564,187.6300340270996,3.3549150794600493,8.713094186782993,21.24998611450195,4,1.2,1.0,0.8200000000000001
2.235,nominal_dynamic,3,209.95125180296895,208.414434337616,206.8501926612854,1.9179603287210025,5.949845699071858,10.801234016418448,1,0.3,12.0,0.8200000000000001
2.235,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,2.989191990088416,8.731614952087437,14.248734626770016,0,0.0,,0.8200000000000001
2.24,myopic,3168,208.9758562745149,200.89009866237646,188.01771072387697,3.174144857562078,8.382806110382171,20.86230941772459,4,1.2,1.0,0.8300000000000001
2.24,nominal_dynamic,21,210.14412135162354,206.8639309692383,202.6270736694336,2.0058797804534474,4.723337135314996,7.57076457977297,2,0.6,9.0,0.8300000000000001
2.24,persistent_dro,3,210.0635656463623,208.5171600341797,206.9431591796875,2.0864354857146816,6.317912706136738,11.199568595886234,1,0.3,12.0,0.8300000000000001
2.245,myopic,3168,209.43741549679984,201.3412024831772,188.4053874206543,3.0022734384859566,8.052518033981393,20.474632720947255,4,1.2,1.0,0.8600000000000001
2.245,nominal_dynamic,903,210.52418559870313,203.00156852722168,192.0795387649536,1.9155033365827014,5.929664983749433,16.80048137664795,4,1.2,3.0,0.8600000000000001
