week,dynamic_profit,myopic_profit,vdo_contribution,cumulative_vdo,decision_week,alpha,capacity,washout_horizon
9,135.98246842154762,138.68169832052016,-2.6992298989725327,20.876396187327884,True,2.25,8,12
10,138.09264807948264,219.3471394172614,-81.25449133777875,-60.37809515045086,True,2.25,8,12
11,219.05341515552357,137.50828033093225,81.54513482459132,21.167039674140455,True,2.25,8,12
12,139.25259565386315,141.86673445246637,-2.6141387986032214,18.552900875537233,True,2.25,8,12
13,147.54320647483362,148.53570182050117,-0.9924953456675496,17.560405529869684,False,2.25,8,12
14,145.59801231226737,146.05449910507397,-0.45648679280660076,17.103918737063083,False,2.25,8,12
15,142.62803911277985,142.8692194049975,-0.24118029221764914,16.862738444845434,False,2.25,8,12
16,139.5785043024309,139.72946693784482,-0.15096263541391863,16.711775809431515,False,2.25,8,12
17,125.22072605125511,125.30450545464939,-0.08377940339427425,16.62799640603724,False,2.25,8,12
18,112.32356836385391,112.37364355467517,-0.05007519082126066,16.57792121521598,False,2.25,8,12
19,111.19995820866151,111.23646105612747,-0.03650284746595389,16.541418367750026,False,2.25,8,12
20,108.29052807496767,108.31828093224009,-0.02775285727241794,16.513665510477608,False,2.25,8,12
21,124.04573331330928,124.07099508809674,-0.025261774787452396,16.488403735690156,False,2.25,8,12
22,130.04152661630903,130.06287990478629,-0.021353288477257593,16.4670504472129,False,2.25,8,12
23,133.02201911962285,133.0402759353024,-0.01825681567953552,16.448793631533363,False,2.25,8,12
24,134.44283895902893,134.45894585462398,-0.01610689559504408,16.43268673593832,False,2.25,8,12
1,222.19452221431516,261.724805653266,-39.530283438950846,-39.530283438950846,True,2.3,8,12
2,193.26413717261354,150.59965082447195,42.664486348141594,3.1342029091907477,True,2.3,8,12
3,114.9897283190442,116.0601248770627,-1.0703965580185013,2.0638063511722464,True,2.3,8,12
4,125.75020559106346,205.14708169180514,-79.39687610074168,-77.33306974956943,True,2.3,8,12
5,256.45061920366425,152.57777502413157,103.87284417953268,26.539774429963245,True,2.3,8,12
6,149.86130438515107,152.69224851748385,-2.8309441323327746,23.70883029763047,True,2.3,8,12
7,150.1664425412799,248.02525559464283,-97.85881305336292,-74.14998275573245,True,2.3,8,12
8,243.20572994026958,143.5434587901055,99.66227115016409,25.512288394431636,True,2.3,8,12
9,135.98246842154762,138.68169832052016,-2.6992298989725327,22.813058495459103,True,2.3,8,12
10,138.09264807948264,228.27776696958588,-90.18511889010324,-67.37206039464414,True,2.3,8,12
11,227.77223632387552,137.50828033093225,90.26395599294327,22.89189559829913,True,2.3,8,12
12,139.25259565386315,141.86673445246637,-2.6141387986032214,20.277756799695908,True,2.3,8,12
13,147.54320647483362,148.53570182050117,-0.9924953456675496,19.28526145402836,False,2.3,8,12
14,145.59801231226737,146.05449910507397,-0.45648679280660076,18.828774661221757,False,2.3,8,12
15,142.62803911277985,142.8692194049975,-0.24118029221764914,18.58759436900411,False,2.3,8,12
16,139.5785043024309,139.72946693784482,-0.15096263541391863,18.43663173359019,False,2.3,8,12
17,125.22072605125511,125.30450545464939,-0.08377940339427425,18.352852330195915,False,2.3,8,12
18,112.32356836385391,112.37364355467517,-0.05007519082126066,18.302777139374655,False,2.3,8,12
19,111.19995820866151,111.23646105612747,-0.03650284746595389,18.2662742919087,False,2.3,8,12
20,108.29052807496767,108.31828093224009,-0.02775285727241794,18.238521434636283,False,2.3,8,12
21,124.04573331330928,124.07099508809674,-0.025261774787452396,18.21325965984883,False,2.3,8,12
22,130.04152661630903,130.06287990478629,-0.021353288477257593,18.191906371371573,False,2.3,8,12
23,133.02201911962285,133.0402759353024,-0.01825681567953552,18.173649555692037,False,2.3,8,12
24,134.44283895902893,134.45894585462398,-0.01610689559504408,18.157542660096993,False,2.3,8,12
1,228.9416901994493,272.53555831606394,-43.59386811661463,-43.59386811661463,True,2.35,8,12
2,197.39490898104336,150.59965082447195,46.79525815657141,3.2013900399567774,True,2.35,8,12
3,114.9897283190442,116.0601248770627,-1.0703965580185013,2.130993481938276,True,2.35,8,12
4,125.75020559106346,213.13913395593607,-87.38892836487261,-85.25793488293434,True,2.35,8,12
5,266.47944849005165,152.57777502413157,113.90167346592008,28.643738582985748,True,2.35,8,12
6,149.86130438515107,152.69224851748385,-2.8309441323327746,25.812794450652973,True,2.35,8,12
7,150.1664425412799,257.7683316291681,-107.60188908788817,-81.7890946372352,True,2.35,8,12
8,252.7815041299035,143.5434587901055,109.23804533979802,27.448950702562826,True,2.35,8,12
9,135.98246842154762,138.68169832052016,-2.6992298989725327,24.749720803590293,True,2.35,8,12
10,138.09264807948264,237.20839452191046,-99.11574644242782,-74.36602563883753,True,2.35,8,12
11,236.49105749222758,137.50828033093225,98.98277716129533,24.616751522457804,True,2.35,8,12
12,139.25259565386315,141.86673445246637,-2.6141387986032214,22.002612723854583,True,2.35,8,12
13,147.54320647483362,148.53570182050117,-0.9924953456675496,21.010117378187033,False,2.35,8,12
14,145.59801231226737,146.05449910507397,-0.45648679280660076,20.553630585380432,False,2.35,8,12
15,142.62803911277985,142.8692194049975,-0.24118029221764914,20.312450293162783,False,2.35,8,12
16,139.5785043024309,139.72946693784482,-0.15096263541391863,20.161487657748864,False,2.35,8,12
17,125.22072605125511,125.30450545464939,-0.08377940339427425,20.07770825435459,False,2.35,8,12
18,112.32356836385391,112.37364355467517,-0.05007519082126066,20.02763306353333,False,2.35,8,12
19,111.19995820866151,111.23646105612747,-0.03650284746595389,19.991130216067376,False,2.35,8,12
20,108.29052807496767,108.31828093224009,-0.02775285727241794,19.963377358794958,False,2.35,8,12
21,124.04573331330928,124.07099508809674,-0.025261774787452396,19.938115584007505,False,2.35,8,12
22,130.04152661630903,130.06287990478629,-0.021353288477257593,19.916762295530248,False,2.35,8,12
23,133.02201911962285,133.0402759353024,-0.01825681567953552,19.898505479850712,False,2.35,8,12
24,134.44283895902893,134.45894585462398,-0.01610689559504408,19.882398584255668,False,2.35,8,12
1,235.68885818458338,283.34631097886177,-47.657452794278385,-47.657452794278385,True,2.4,8,12
2,201.52568078947317,150.59965082447195,50.92602996500122,3.2685771707228355,True,2.4,8,12
3,114.9897283190442,116.0601248770627,-1.0703965580185013,2.198180612704334,True,2.4,8,12
4,125.75020559106346,221.13118622006692,-95.38098062900346,-93.18280001629913,True,2.4,8,12
5,276.508277776439,152.57777502413157,123.93050275230743,30.747702736008307,True,2.4,8,12
6,149.86130438515107,152.69224851748385,-2.8309441323327746,27.916758603675532,True,2.4,8,12
7,150.1664425412799,267.5114076636932,-117.3449651224133,-89.42820651873777,True,2.4,8,12
8,262.35727831953733,143.5434587901055,118.81381952943184,29.385613010694072,True,2.4,8,12
9,135.98246842154762,138.68169832052016,-2.6992298989725327,26.68638311172154,True,2.4,8,12
10,138.09264807948264,246.13902207423496,-108.04637399475232,-81.35999088303078,True,2.4,8,12
11,245.20987866057956,137.50828033093225,107.70159832964731,26.341607446616536,True,2.4,8,12
12,139.25259565386315,141.86673445246637,-2.6141387986032214,23.727468648013314,True,2.4,8,12
13,147.54320647483362,148.53570182050117,-0.9924953456675496,22.734973302345765,False,2.4,8,12
14,145.59801231226737,146.05449910507397,-0.45648679280660076,22.278486509539164,False,2.4,8,12
15,142.62803911277985,142.8692194049975,-0.24118029221764914,22.037306217321515,False,2.4,8,12
16,139.5785043024309,139.72946693784482,-0.15096263541391863,21.886343581907596,False,2.4,8,12
17,125.22072605125511,125.30450545464939,-0.08377940339427425,21.80256417851332,False,2.4,8,12
18,112.32356836385391,112.37364355467517,-0.05007519082126066,21.75248898769206,False,2.4,8,12
19,111.19995820866151,111.23646105612747,-0.03650284746595389,21.715986140226107,False,2.4,8,12
20,108.29052807496767,108.31828093224009,-0.02775285727241794,21.68823328295369,False,2.4,8,12
21,124.04573331330928,124.07099508809674,-0.025261774787452396,21.662971508166237,False,2.4,8,12
22,130.04152661630903,130.06287990478629,-0.021353288477257593,21.64161821968898,False,2.4,8,12
23,133.02201911962285,133.0402759353024,-0.01825681567953552,21.623361404009444,False,2.4,8,12
24,134.44283895902893,134.45894585462398,-0.01610689559504408,21.6072545084144,False,2.4,8,12
1,242.4360261697175,294.8154240998562,-52.37939793013871,-52.37939793013871,True,2.45,8,12
2,205.65645259790298,146.29222897640932,59.364223621493664,6.984825691354956,True,2.45,8,12
3,114.9897283190442,114.95355751420243,0.03617080484177393,7.02099649619673,True,2.45,8,12
4,125.75020559106346,229.08371739444163,-103.33351180337817,-96.31251530718144,True,2.45,8,12
5,286.5371070628264,148.10114161562353,138.43596544720288,42.12345014002143,True,2.45,8,12
6,149.86130438515107,151.06000110867245,-1.1986967235213797,40.92475341650005,True,2.45,8,12
7,150.1664425412799,277.1042243220498,-126.93778178076988,-86.01302836426983,True,2.45,8,12
8,271.9330525091712,139.46240211855198,132.47065039061923,46.4576220263494,True,2.45,8,12
9,135.98246842154762,137.23255327148195,-1.250084849934325,45.20753717641507,True,2.45,8,12
10,138.09264807948264,254.91536752727856,-116.82271944779592,-71.61518227138085,True,2.45,8,12
11,253.92869982893163,133.77655377916457,120.15214604976705,48.53696377838621,True,2.45,8,12
12,139.25259565386315,140.28826830028055,-1.035672646417396,47.50129113196881,True,2.45,8,12
13,147.54320647483362,147.75507258176265,-0.21186610692902264,47.28942502503979,False,2.45,8,12
14,145.59801231226737,145.6332060830267,-0.03519377075932084,47.25423125428047,False,2.45,8,12
15,142.62803911277985,142.62225444970716,0.005784663072688545,47.26001591735316,False,2.45,8,12
16,139.5785043024309,139.57605977409233,0.002444528338571672,47.26246044569173,False,2.45,8,12
17,125.22072605125511,125.21298443998879,0.007741611266325776,47.270202056958055,False,2.45,8,12
18,112.32356836385391,112.31679629235549,0.006772071498417631,47.27697412845647,False,2.45,8,12
19,111.19995820866151,111.19961018074535,0.00034802791616073137,47.277322156372634,False,2.45,8,12
20,108.29052807496767,108.29054928179538,-2.1206827710784637e-05,47.27730094954492,False,2.45,8,12
21,124.04573331330928,124.04356420666153,0.002169106647755825,47.27947005619268,False,2.45,8,12
22,130.04152661630903,130.0397664955104,0.001760120798621756,47.2812301769913,False,2.45,8,12
23,133.02201911962285,133.02049511961076,0.0015240000120968489,47.2827541770034,False,2.45,8,12
24,134.44283895902893,134.4414372725871,0.0014016864418238129,47.28415586344522,False,2.45,8,12
1,249.1831941548516,307.1444851996255,-57.96129104477387,-57.96129104477387,True,2.5,8,12
2,209.78722440633283,146.29222897640932,63.494995429923506,5.533704385149633,True,2.5,8,12
3,114.9897283190442,114.95355751420243,0.03617080484177393,5.569875189991407,True,2.5,8,12
4,125.75020559106346,238.23563718745083,-112.48543159638737,-106.91555640639596,True,2.5,8,12
5,296.5659363492138,148.10114161562353,148.46479473359028,41.54923832719432,True,2.5,8,12
6,149.86130438515107,151.06000110867245,-1.1986967235213797,40.35054160367294,True,2.5,8,12
7,150.1664425412799,288.18919037777005,-138.02274783649014,-97.6722062328172,True,2.5,8,12
8,281.5088266988051,139.46240211855198,142.0464245802531,44.3742183474359,True,2.5,8,12
9,135.98246842154762,137.23255327148195,-1.250084849934325,43.124133497501575,True,2.5,8,12
10,138.09264807948264,265.01989956840004,-126.92725148891739,-83.80311799141582,True,2.5,8,12
11,262.6475209972836,133.77655377916457,128.87096721811903,45.06784922670322,True,2.5,8,12
12,139.25259565386315,140.28826830028055,-1.035672646417396,44.03217658028582,True,2.5,8,12
13,147.54320647483362,147.75507258176265,-0.21186610692902264,43.8203104733568,False,2.5,8,12
14,145.59801231226737,145.6332060830267,-0.03519377075932084,43.78511670259748,False,2.5,8,12
15,142.62803911277985,142.62225444970716,0.005784663072688545,43.790901365670166,False,2.5,8,12
16,139.5785043024309,139.57605977409233,0.002444528338571672,43.79334589400874,False,2.5,8,12
17,125.22072605125511,125.21298443998879,0.007741611266325776,43.80108750527506,False,2.5,8,12
18,112.32356836385391,112.31679629235549,0.006772071498417631,43.80785957677348,False,2.5,8,12
19,111.19995820866151,111.19961018074535,0.00034802791616073137,43.80820760468964,False,2.5,8,12
20,108.29052807496767,108.29054928179538,-2.1206827710784637e-05,43.80818639786193,False,2.5,8,12
21,124.04573331330928,124.04356420666153,0.002169106647755825,43.81035550450969,False,2.5,8,12
22,130.04152661630903,130.0397664955104,0.001760120798621756,43.81211562530831,False,2.5,8,12
23,133.02201911962285,133.02049511961076,0.0015240000120968489,43.813639625320405,False,2.5,8,12
24,134.44283895902893,134.4414372725871,0.0014016864418238129,43.81504131176223,False,2.5,8,12
1,255.93036213998568,321.55425755021383,-65.62389541022816,-65.62389541022816,True,2.55,8,12
2,213.91799621476258,143.8697672191978,70.04822899556478,4.424333585336626,True,2.55,8,12
3,114.9897283190442,114.17653566791707,0.8131926511271388,5.237526236463765,True,2.55,8,12
4,125.75020559106346,248.52963601772456,-122.7794304266611,-117.54190419019733,True,2.55,8,12
