alpha,policy,mean_profit,p10_profit,mean_regret,p90_regret,maximum_regret,mean_promotion_count,mean_promotion_depth,promotion_DGP_share,median_first_promotion_week
2.55,dro,238.12234209791595,228.46469776424883,0.10551560329570997,0.19147880736364953,0.66310270793835,4.0,0.3,1.0,1.0
2.55,myopic,237.1883498567858,226.48917593668767,1.039507844425907,2.2732635314601284,3.076760509762437,4.0,0.3,1.0,1.0
2.55,nominal_dynamic,238.20203949164272,228.48005922406352,0.02581820956898369,0.0986271091914985,0.3060524852853064,4.0,0.3,1.0,1.0
2.6,dro,242.75641148872725,232.7357764652078,0.06493486835867623,0.1202270799386723,0.6352960653697153,4.0,0.3,1.0,1.0
2.6,myopic,241.7874022099123,230.79607059768202,1.0339441471736337,2.2718240845725592,3.0742039854604855,4.0,0.3,1.0,1.0
2.6,nominal_dynamic,242.78942495506354,232.7375980508772,0.03192140202239467,0.11090769343673722,0.3430281310916996,4.0,0.3,1.0,1.0
2.65,dro,247.34023447143215,237.00685516616673,0.07326440670508375,0.13604329804130638,0.607489422801109,4.0,0.3,1.0,1.0
2.65,myopic,246.38645456303874,235.06638435923833,1.0270443150984956,2.2703846376850016,3.0716474611584204,4.0,0.3,1.0,1.0
2.65,nominal_dynamic,247.39072929710406,237.02200944076617,0.022769581033135422,0.10281167001246261,0.3158761953201292,4.0,0.3,1.0,1.0
2.7,dro,251.92405745413708,241.27793386712574,0.08272538980043478,0.15185951614389503,0.5796827802324458,4.0,0.3,1.0,1.0
2.7,myopic,250.98550691616518,239.3366981207947,1.0212759277723036,2.2689451907973717,3.0690909368563837,4.0,0.3,1.0,1.0
2.7,nominal_dynamic,251.98111540278774,241.29038564991143,0.025667441149740428,0.11870795739628068,0.3466120117168998,4.0,0.3,1.0,1.0
2.75,dro,256.5078804368419,245.54901256808463,0.09258427142458242,0.16767573424659735,0.5518761376637826,4.0,0.3,1.0,1.0
2.75,myopic,255.58455926929165,243.607011882351,1.0159054389749074,2.2675057439098225,3.066534412554404,4.0,0.3,1.0,1.0
2.75,nominal_dynamic,256.57150150847144,245.5587618590566,0.02896319979514279,0.13433867087690154,0.37734782811361356,4.0,0.3,1.0,1.0
2.8,dro,261.0917034195469,249.8200912690436,0.10328260287369001,0.18349195234919732,0.5240694950951479,4.0,0.3,1.0,1.0
2.8,myopic,260.1836116224181,247.87732564390734,1.0113744000024651,2.266066297022245,3.1696699095963936,4.0,0.3,1.0,1.0
2.8,nominal_dynamic,261.1618876141551,249.82713806820178,0.03309840826549495,0.15873221127918669,0.4080836445105547,4.0,0.3,1.0,1.0
2.85,dro,265.6755264022518,254.09116997000254,0.11471090739883627,0.19930817045179733,0.49626285252651314,4.0,0.3,1.0,1.0
2.85,myopic,264.78266397554455,252.14763940546368,1.007573334106057,2.2646268501346754,3.1826680168247776,4.0,0.3,1.0,1.0
2.85,nominal_dynamic,265.75227371983874,254.09551427734698,0.037963589811895515,0.17096931405989257,0.43881946090732526,4.0,0.3,1.0,1.0
