grid_name,weekly_capacity,alpha,policy,category_value,promotion_count,total_discount_depth,maximum_weekly_promotions,binding_weeks,slot_utilization,active_product_count,active_product_set,supported_promoted_product_share
supported,2,2.5,dynamic,2239.7617281989246,17,6.960000000000001,2,7,0.7083333333333334,5,1600066510|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.5,myopic,2223.5203626294915,20,8.16,2,8,0.8333333333333334,5,1600066510|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.55,dynamic,2278.349179280479,17,6.960000000000001,2,7,0.7083333333333334,5,1600066510|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.55,myopic,2262.4992858683654,24,10.159999999999998,2,12,1.0,6,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.6,dynamic,2320.7163378256155,21,8.959999999999999,2,9,0.875,6,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.6,myopic,2315.5587789467168,24,10.159999999999998,2,12,1.0,6,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.65,dynamic,2369.92438289686,22,9.459999999999999,2,10,0.9166666666666666,7,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.65,myopic,2366.9764489916156,24,10.159999999999998,2,12,1.0,6,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.7,dynamic,2426.918500467062,24,10.459999999999999,2,12,1.0,7,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.7,myopic,2420.083262144088,24,10.159999999999998,2,12,1.0,6,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.75,dynamic,2484.120962085922,24,10.459999999999999,2,12,1.0,7,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.75,myopic,2472.0529052305214,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0
supported,2,2.8,dynamic,2543.603528515179,24,10.87,2,12,1.0,7,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.8,myopic,2534.9553180494304,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0
supported,2,2.85,dynamic,2603.241123406052,24,10.87,2,12,1.0,7,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.85,myopic,2597.857730868339,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0
supported,2,2.9,dynamic,2662.8787182969245,24,10.87,2,12,1.0,7,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.9,myopic,2660.7601436872474,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0
supported,2,2.95,dynamic,2723.9733518101434,24,11.489999999999998,2,12,1.0,7,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1.0
supported,2,2.95,myopic,2723.6625565061563,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0
supported,2,3.0,dynamic,2786.7961746486017,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0
supported,2,3.0,myopic,2786.5649693250652,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0
supported,2,3.05,dynamic,2849.7004915246953,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0
supported,2,3.05,myopic,2849.4673821439737,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0
supported,2,3.1,dynamic,2912.6048084007894,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0
supported,2,3.1,myopic,2912.3697949628827,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0
supported,2,3.15,dynamic,2976.2784374517673,24,11.89,2,12,1.0,7,1600066510|1600066590|1600066610|3800000120|3800000127|3800001520|3800001611,1.0
supported,2,3.15,myopic,2975.272207781791,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0
