grid_name,upc,product_name,schedule_id,candidate_id,nominal_base,nominal_exposure,promotion_count,total_depth,minimum_action_support,schedule_supported,occupancy_pattern,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,decision_horizon,washout_horizon,evaluation_horizon
empirical_w0,1600066610,1600066610,79,empirical_w0|1600066610|79,170.86316911697392,55.95093414147696,2,0.55,44,True,000001000010,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.5,0.0,12,0,12
empirical_w0,1600066610,1600066610,80,empirical_w0|1600066610|80,303.7266744359335,4.80708545724551,2,0.1,283,True,000001000100,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,82,empirical_w0|1600066610|82,169.61740388870246,56.20747603098551,2,0.55,44,True,000001000100,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.5,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,83,empirical_w0|1600066610|83,303.6646341069539,4.817873879869779,2,0.1,283,True,000001001000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,84,empirical_w0|1600066610|84,296.0046980539958,7.171441238522528,3,0.15000000000000002,283,True,000001001001,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.05,12,0,12
empirical_w0,1600066610,1600066610,85,empirical_w0|1600066610|85,261.6118878300984,20.684366187254582,3,0.35,69,True,000001001001,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.25,12,0,12
empirical_w0,1600066610,1600066610,86,empirical_w0|1600066610|86,165.28124086380004,58.02564731756845,3,0.6,44,True,000001001001,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.5,12,0,12
empirical_w0,1600066610,1600066610,91,empirical_w0|1600066610|91,168.718200562795,56.451173070271814,2,0.55,44,True,000001001000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,94,empirical_w0|1600066610|94,31.572747202769005,109.18170431454976,3,1.05,44,True,000001001001,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.0,0.5,12,0,12
empirical_w0,1600066610,1600066610,117,empirical_w0|1600066610|117,174.34655210494998,54.89681478500364,1,0.5,44,True,000001000000,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,120,empirical_w0|1600066610|120,36.030233413850276,108.07870980898541,2,1.0,44,True,000001000001,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,12,0,12
empirical_w0,1600066610,1600066610,123,empirical_w0|1600066610|123,33.871424666022264,108.28190645853678,2,1.0,44,True,000001000010,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,12,0,12
empirical_w0,1600066610,1600066610,126,empirical_w0|1600066610|126,32.918166568676625,108.42734723091127,2,1.0,44,True,000001000100,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,135,empirical_w0|1600066610|135,32.63853021313747,108.43501578013102,2,1.0,44,True,000001001000,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,138,empirical_w0|1600066610|138,-104.30676560878757,161.0883668359121,3,1.5,44,True,000001001001,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,12,0,12
empirical_w0,1600066610,1600066610,139,empirical_w0|1600066610|139,311.6546021652221,2.440456275939941,1,0.05,283,True,000010000000,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,12
