grid_name,weekly_capacity,alpha,policy,category_value,promotion_count,total_discount_depth,maximum_weekly_promotions,binding_weeks,slot_utilization,active_product_count,active_product_set,supported_promoted_product_share,decision_horizon,washout_horizon,evaluation_horizon
empirical_w6,2,1.9,myopic,2659.5420508251977,12,4.5600000000000005,2,4,0.5,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,2,1.95,dynamic,2689.9421718984036,12,4.5600000000000005,2,4,0.5,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,2,1.95,myopic,2689.559387258409,12,4.5600000000000005,2,4,0.5,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,2,2.0,dynamic,2719.936014895437,12,4.5600000000000005,2,3,0.5,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,2,2.0,myopic,2719.5767236916213,12,4.5600000000000005,2,4,0.5,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,2,2.05,dynamic,2749.9400272752823,12,4.5600000000000005,2,3,0.5,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,2,2.05,myopic,2749.5940601248335,12,4.5600000000000005,2,4,0.5,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,2,2.1,dynamic,2779.971768861213,12,4.5600000000000005,2,3,0.5,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,2,2.1,myopic,2779.611396558045,12,4.5600000000000005,2,4,0.5,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,2,2.15,dynamic,2810.0038276623072,12,4.5600000000000005,2,3,0.5,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,2,2.15,myopic,2803.7945940471877,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.2,dynamic,2841.4719738509243,16,6.5600000000000005,2,6,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.2,myopic,2841.0366697491795,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.24,dynamic,2871.2726941743285,16,6.5600000000000005,2,6,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.24,myopic,2870.830330310773,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.25,dynamic,2878.7238393878674,16,6.5600000000000005,2,7,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.25,myopic,2878.2787454511704,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.3,dynamic,2915.985777669364,16,6.5600000000000005,2,7,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.3,myopic,2915.520821153162,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.35,dynamic,2953.2477159508603,16,6.5600000000000005,2,7,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.35,myopic,2952.762896855154,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.4,dynamic,2990.5096542323563,16,6.5600000000000005,2,7,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.4,myopic,2990.004972557146,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.45,dynamic,3027.7715925138527,16,6.5600000000000005,2,7,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.45,myopic,3003.3692200163596,20,8.16,2,8,0.8333333333333334,5,1600066510|3800000110|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,2.5,dynamic,3065.033530795349,16,6.5600000000000005,2,7,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.5,myopic,3045.999496237436,20,8.16,2,8,0.8333333333333334,5,1600066510|3800000110|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,2.55,dynamic,3102.2954690768456,16,6.5600000000000005,2,7,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.55,myopic,3080.166241238077,24,10.159999999999998,2,12,1.0,6,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,2.6,dynamic,3141.3364901045315,20,8.559999999999999,2,8,0.8333333333333334,5,1600066510|1600066590|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.6,myopic,3133.2257343164283,24,10.159999999999998,2,12,1.0,6,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,2.65,dynamic,3189.0264142392225,20,8.559999999999999,2,8,0.8333333333333334,5,1600066510|1600066590|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.65,myopic,3186.072171665748,24,10.159999999999998,2,12,1.0,6,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,2.7,dynamic,3246.6086971026853,24,10.559999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.7,myopic,3239.17898481822,24,10.159999999999998,2,12,1.0,6,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,2.75,dynamic,3305.1197551634896,24,10.559999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.75,myopic,3289.304658226072,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0,12,6,18
