alpha,scenario_id,scenario_weight,policy,discounted_profit,oracle_profit,regret,promotion_count,mean_promotion_depth,first_promotion_week,first_discount
1.35,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.35,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.4,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.4,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.4,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.45,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.45,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.45,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.5,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.5,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.5,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.55,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.55,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.55,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.6,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.6,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.6,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.65,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.65,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.65,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.7,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.7,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.7,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.75,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.75,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.75,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.8,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.8,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.8,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
