alpha,capacity,decision_horizon,washout_horizon,evaluation_horizon,dynamic_profit,myopic_profit,vdo,vdo_percent,dynamic_promotion_count,myopic_promotion_count,dynamic_binding_weeks,myopic_binding_weeks,dynamic_active_set,myopic_active_set,dynamic_schedule_signature,myopic_schedule_signature,best_second_gap,minimum_chosen_support,median_chosen_support,minimum_chosen_panels,maximum_terminal_state_dynamic,maximum_terminal_state_myopic,action_disagreements,status_disagreements,depth_disagreements,disagreement_rate,timing_shift_products,same_action_multiset_products,dynamic_active_products,myopic_active_products,active_set_equal,economic_profile_mode,dynamic_schedule_signature_previous,myopic_schedule_signature_previous,dynamic_active_set_previous,myopic_active_set_previous,dynamic_schedule_change,myopic_schedule_change,dynamic_active_set_change,myopic_active_set_change,any_policy_boundary,relative_best_second_gap
1.4,2,12,12,24,3302.580211445339,3298.8965702730966,3.68364117224246,0.11166282706273245,0,4,0,0,,3800000110,f3eb7b0be14f7709,42e76e9c79c43d55,0.5735545465395262,,,,0.0,0.013526449437718196,4,4,0,0.041666666666666664,0,7,0,1,False,weekly_predicted_demand_fixed_product_price_cost,,,,,False,False,False,False,False,0.00017366861963013947
1.45,2,12,12,24,3302.580211445339,3299.894648763419,2.685562681920146,0.08138328546114393,0,4,0,0,,3800000110,f3eb7b0be14f7709,42e76e9c79c43d55,0.4687724536361202,,,,0.0,0.013526449437718196,4,4,0,0.041666666666666664,0,7,0,1,False,weekly_predicted_demand_fixed_product_price_cost,f3eb7b0be14f7709,42e76e9c79c43d55,,3800000110,False,False,False,False,False,0.0001419412773114652
1.5,2,12,12,24,3302.580211445339,3300.892727253741,1.6874841915978323,0.05112205488124954,0,4,0,0,,3800000110,f3eb7b0be14f7709,42e76e9c79c43d55,0.2832773114810152,,,,0.0,0.013526449437718196,4,4,0,0.041666666666666664,0,7,0,1,False,weekly_predicted_demand_fixed_product_price_cost,f3eb7b0be14f7709,42e76e9c79c43d55,,3800000110,False,False,False,False,False,8.577454394575989e-05
1.55,2,12,12,24,3302.580211445339,3301.8908057440635,0.6894057012755184,0.020879118718166226,0,4,0,0,,3800000110,f3eb7b0be14f7709,42e76e9c79c43d55,0.05380836776930664,,,,0.0,0.013526449437718196,4,4,0,0.041666666666666664,0,7,0,1,False,weekly_predicted_demand_fixed_product_price_cost,f3eb7b0be14f7709,42e76e9c79c43d55,,3800000110,False,False,False,False,False,1.6292826918428723e-05
1.6,2,12,12,24,3303.280474676416,3302.888884234386,0.3915904420300649,0.011855998059736002,4,4,0,0,3800000110,3800000110,ff1473f1073f8fda,42e76e9c79c43d55,0.0028170733912702417,34.0,34.0,12.0,0.014448856725249693,0.013526449437718196,8,8,0,0.08333333333333333,1,8,1,1,True,weekly_predicted_demand_fixed_product_price_cost,f3eb7b0be14f7709,42e76e9c79c43d55,,3800000110,True,False,True,False,True,8.528108384578508e-07
1.65,2,12,12,24,3304.5149330578506,3301.5879738037006,2.926959254150006,0.08865307474384541,7,8,1,4,3800000110|3800000120,3800000110|3800000120,98bb22760481cb16,a321c46637c90e80,0.005782811997050885,34.0,34.0,12.0,0.014448856725249693,0.013526449437718196,13,11,2,0.13541666666666666,1,7,2,2,True,weekly_predicted_demand_fixed_product_price_cost,ff1473f1073f8fda,42e76e9c79c43d55,3800000110,3800000110,True,True,True,True,True,1.7499730260561203e-06
1.7,2,12,12,24,3318.904451624157,3317.5239392347153,1.3805123894417193,0.04161273331339321,8,8,4,4,3800000110|3800000120,3800000110|3800000120,390811836925ba7e,a321c46637c90e80,0.008748550602376781,34.0,35.0,12.0,0.014448856725249693,0.013526449437718196,16,16,0,0.16666666666666666,2,8,2,2,True,weekly_predicted_demand_fixed_product_price_cost,98bb22760481cb16,a321c46637c90e80,3800000110|3800000120,3800000110|3800000120,True,False,False,False,True,2.635975434030812e-06
1.75,2,12,12,24,3335.400983086435,3333.45990466573,1.941078420705253,0.058230141541177435,8,8,4,4,3800000110|3800000120,3800000110|3800000120,390811836925ba7e,a321c46637c90e80,0.011714289208157425,34.0,35.0,12.0,0.014448856725249693,0.013526449437718196,16,16,0,0.16666666666666666,2,8,2,2,True,weekly_predicted_demand_fixed_product_price_cost,390811836925ba7e,a321c46637c90e80,3800000110|3800000120,3800000110|3800000120,False,False,False,False,False,3.512108219539328e-06
1.8,2,12,12,24,3351.8975145487134,3349.395870096745,2.501644451968332,0.0746894230778422,8,8,4,4,3800000110|3800000120,3800000110|3800000120,390811836925ba7e,a321c46637c90e80,0.01468002781348332,34.0,35.0,12.0,0.014448856725249693,0.013526449437718196,16,16,0,0.16666666666666666,2,8,2,2,True,weekly_predicted_demand_fixed_product_price_cost,390811836925ba7e,a321c46637c90e80,3800000110|3800000120,3800000110|3800000120,False,False,False,False,False,4.37961714216068e-06
1.85,2,12,12,24,3368.3951583570533,3350.2283729858755,18.166785371177866,0.542255134535405,8,12,3,4,3800000110|3800000120,1600066510|3800000110|3800000120,8f622df1673f415f,8c39333eb528f479,0.0011123460612907365,34.0,35.0,12.0,0.014448856725249693,0.02345055820396392,18,18,0,0.1875,2,7,2,3,False,weekly_predicted_demand_fixed_product_price_cost,390811836925ba7e,a321c46637c90e80,3800000110|3800000120,3800000110|3800000120,True,True,False,True,True,3.302302755456065e-07
